#: table_doi: 10.17182/hepdata.11903.v1/t6
#: name: Table 6
#: description: The NC reduced cross section and the electromagnetic structure funcion F2 derived from the data. For Q**2 > 2000 GeV**2 the extraction of F2 is restricted to Y < 0.6.

#: data_file: Table6.yaml
#: keyword reactions: E+ P --> E+ X
#: keyword observables: F2 | SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Structure Function | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 319.0
#: E(P=1) [GeV],27.6
#: E(P=2) [GeV],920.0
#: RE,E+ P --> E+ X
#: SQRT(S) [GeV],319.0,,,,
Q**2 [GEV**2],X,Y,SIG(C=REDUCED),stat +,stat -,sys +,sys -
800.0,0.013,0.606,-,0,0,0,0
800.0,0.02,0.394,0.764,0.026,-0.026,0.025,-0.025
800.0,0.032,0.246,0.586,0.021,-0.021,0.018,-0.018
800.0,0.05,0.158,0.553,0.019,-0.019,0.017,-0.017
800.0,0.08,0.098,0.45,0.017,-0.017,0.014,-0.014
800.0,0.13,0.061,0.357,0.016,-0.016,0.015,-0.015
800.0,0.18,0.044,0.323,0.016,-0.016,0.015,-0.015
800.0,0.25,0.032,0.256,0.015,-0.015,0.023,-0.023
800.0,0.4,0.02,0.127,0.012,-0.012,0.015,-0.015
800.0,0.65,0.012,0.0182,0.003,-0.003,0.003,-0.003
-,-,-,-,0,0,0,0
1000.0,0.013,0.757,-,0,0,0,0
1000.0,0.02,0.492,0.761,0.03,-0.03,0.026,-0.026
1000.0,0.032,0.308,0.656,0.026,-0.026,0.026,-0.026
1000.0,0.05,0.197,0.557,0.023,-0.023,0.02,-0.02
1000.0,0.08,0.123,0.46,0.02,-0.02,0.014,-0.014
1000.0,0.13,0.076,0.41,0.021,-0.021,0.016,-0.016
1000.0,0.18,0.055,0.317,0.018,-0.018,0.012,-0.012
1000.0,0.25,0.039,0.261,0.016,-0.016,0.015,-0.015
1000.0,0.4,0.025,0.129,0.013,-0.013,0.012,-0.012
1000.0,0.65,0.015,0.0214,0.0038,-0.0038,0.0046,-0.0046
-,-,-,-,0,0,0,0
1200.0,0.02,0.591,0.803,0.039,-0.039,0.027,-0.027
1200.0,0.032,0.369,0.655,0.029,-0.029,0.02,-0.02
1200.0,0.05,0.236,0.477,0.023,-0.023,0.015,-0.015
1200.0,0.08,0.148,0.467,0.022,-0.022,0.014,-0.014
1200.0,0.13,0.091,0.42,0.024,-0.024,0.016,-0.016
1200.0,0.18,0.066,0.322,0.021,-0.021,0.011,-0.011
1200.0,0.25,0.047,0.266,0.019,-0.019,0.012,-0.012
1200.0,0.4,0.03,0.117,0.014,-0.014,0.015,-0.015
1200.0,0.65,0.018,0.023,0.0045,-0.0045,0.0047,-0.0047
-,-,-,-,0,0,0,0
1500.0,0.02,0.738,-,0,0,0,0
1500.0,0.032,0.462,0.609,0.036,-0.036,0.021,-0.021
1500.0,0.05,0.295,0.59,0.031,-0.031,0.017,-0.017
1500.0,0.08,0.185,0.427,0.023,-0.023,0.012,-0.012
1500.0,0.13,0.114,0.343,0.023,-0.023,0.011,-0.011
1500.0,0.18,0.082,0.327,0.023,-0.023,0.015,-0.015
1500.0,0.25,0.059,0.224,0.018,-0.018,0.011,-0.011
1500.0,0.4,0.037,0.103,0.012,-0.012,0.01,-0.01
1500.0,0.65,0.023,0.016,0.0048,-0.0048,0.0031,-0.0031
-,-,-,-,0,0,0,0
2000.0,0.032,0.615,0.671,0.043,-0.043,0.028,-0.028
2000.0,0.05,0.394,0.481,0.036,-0.036,0.019,-0.019
2000.0,0.08,0.246,0.408,0.027,-0.027,0.014,-0.014
2000.0,0.13,0.151,0.367,0.027,-0.027,0.015,-0.015
2000.0,0.18,0.109,0.34,0.028,-0.028,0.013,-0.013
2000.0,0.25,0.079,0.23,0.021,-0.021,0.011,-0.011
2000.0,0.4,0.049,0.106,0.013,-0.013,0.011,-0.011
2000.0,0.65,0.03,0.0287,0.0068,-0.0068,0.0059,-0.0059
-,-,-,-,0,0,0,0
3000.0,0.05,0.591,0.585,0.033,-0.033,0.023,-0.023
3000.0,0.08,0.369,0.452,0.028,-0.028,0.018,-0.018
3000.0,0.13,0.227,0.343,0.025,-0.025,0.013,-0.013
3000.0,0.18,0.164,0.312,0.024,-0.024,0.018,-0.018
3000.0,0.25,0.118,0.192,0.019,-0.019,0.009,-0.009
3000.0,0.4,0.074,0.106,0.012,-0.012,0.007,-0.007
3000.0,0.65,0.045,0.0113,0.0033,-0.0033,0.0019,-0.0019
-,-,-,-,0,0,0,0
5000.0,0.08,0.615,0.475,0.033,-0.033,0.02,-0.02
5000.0,0.13,0.379,0.359,0.03,-0.03,0.015,-0.015
5000.0,0.18,0.273,0.269,0.025,-0.025,0.013,-0.013
5000.0,0.25,0.197,0.3,0.029,-0.029,0.028,-0.028

